Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9I7C0	GMHBB_PSEAE	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB PA0006	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	178
Q4W8Z9	FAEB1_ASPFU	reviewed	Probable feruloyl esterase B-1 (EC 3.1.1.73) (Ferulic acid esterase B-1) (FAEB-1)	faeB-1 AFUA_6G00450	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	528
B0YD91	BGLE_ASPFC	reviewed	Probable beta-glucosidase E (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase E) (Cellobiase E) (Gentiobiase E)	bglE AFUB_094720	Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)	1033
A1CE97	CBHA_ASPCL	reviewed	Probable 1,4-beta-D-glucan cellobiohydrolase A (EC 3.2.1.91) (Beta-glucancellobiohydrolase A) (Cellobiohydrolase D) (Exocellobiohydrolase A) (Exoglucanase A)	cbhA celD ACLA_088870	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1)	453
Q97U96	ARAD_SACS2	reviewed	Arabinonate dehydratase (EC 4.2.1.5)	araD SSO3124	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	373
P85517	BGL2_PASFU	reviewed	Beta-glucosidase 2 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase) (Fragments)		Passalora fulva (Tomato leaf mold) (Cladosporium fulvum)	39
H2IFX0	ACI_VIBSJ	reviewed	3,6-anhydro-alpha-L-galactonate cycloisomerase (AHGA cycloisomerase) (EC 5.5.1.25)	Vejaci VEJY3_09370	Vibrio sp. (strain EJY3)	362
B7M0F7	ARAA_ECO8A	reviewed	L-arabinose isomerase (EC 5.3.1.4)	araA ECIAI1_0062	Escherichia coli O8 (strain IAI1)	500
B6HZ42	ARAA_ECOSE	reviewed	L-arabinose isomerase (EC 5.3.1.4)	araA ECSE_0062	Escherichia coli (strain SE11)	500
Q96X54	ABFA_ASPAW	reviewed	Probable alpha-L-arabinofuranosidase A (ABF A) (Arabinosidase A) (EC 3.2.1.55)	abfA	Aspergillus awamori (Black koji mold)	628
Q4WL66	ABFB_ASPFU	reviewed	Probable alpha-L-arabinofuranosidase B (ABF B) (Arabinosidase B) (EC 3.2.1.55)	abfB AFUA_6G14620	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	506
B5BC39	6PGL_SALPK	reviewed	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	pgl SSPA1834	Salmonella paratyphi A (strain AKU_12601)	331
Q1C788	ANMK_YERPA	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK YPA_1718	Yersinia pestis bv. Antiqua (strain Antiqua)	370
B7J3S7	ANMK_ACIF2	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK AFE_0181	Acidithiobacillus ferrooxidans (strain ATCC 23270 / DSM 14882 / CIP 104768 / NCIMB 8455) (Ferrobacillus ferrooxidans (strain ATCC 23270))	393
Q28KN6	ANMK2_JANSC	reviewed	Anhydro-N-acetylmuramic acid kinase 2 (EC 2.7.1.170) (AnhMurNAc kinase 2)	anmK2 Jann_3809	Jannaschia sp. (strain CCS1)	378
Q5PG56	6PGL_SALPA	reviewed	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	pgl SPA1967	Salmonella paratyphi A (strain ATCC 9150 / SARB42)	331
P42042	AMYG_BLAAD	reviewed	Glucoamylase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	GAA	Blastobotrys adeninivorans (Yeast) (Arxula adeninivorans)	624
B4TQT0	6PGL_SALSV	reviewed	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	pgl SeSA_A0935	Salmonella schwarzengrund (strain CVM19633)	331
Q81QG0	ANMK_BACAN	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK BA_2465 GBAA_2465 BAS2293	Bacillus anthracis	382
A8AHC4	CHBG_CITK8	reviewed	Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	chbG CKO_01758	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)	252
A8A0I3	ANMK_ECOHS	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK EcHS_A1716	Escherichia coli O9:H4 (strain HS)	369
B4TGF6	CHBG_SALHS	reviewed	Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	chbG SeHA_C1446	Salmonella heidelberg (strain SL476)	252
P20845	AMY_BACME	reviewed	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)		Bacillus megaterium	520
Q9HVZ0	GMHA_PSEAE	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA PA4425	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	197
Q05539	CHIA_SOLLC	reviewed	Acidic 26 kDa endochitinase (EC 3.2.1.14)	CHI3	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	253
P83485	CHHA_CHEDE	reviewed	Crustacean hyperglycemic hormone A (CHHA)		Cherax destructor (Common yabby crayfish)	72
P00693	AMY1_HORVU	reviewed	Alpha-amylase type A isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (HvAMY1) (Low pI alpha-amylase)	AMY1.1	Hordeum vulgare (Barley)	438
O74922	AMY1_SCHPO	reviewed	Alpha-amylase 1 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	aah1 SPCC757.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	625
Q9QZL2	CHST3_RAT	reviewed	Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0)	Chst3	Rattus norvegicus (Rat)	474
P32470	CHI1_APHAL	reviewed	Chitinase 1 (EC 3.2.1.14)	CHI1	Aphanocladium album (Wheat rust fungus) (Acremonium album)	423
B0Y2K1	AGUA_ASPFC	reviewed	Probable alpha-glucuronidase A (EC 3.2.1.139) (Alpha-glucosiduronase A)	aguA AFUB_062100	Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)	840
Q9A2M2	AMGK_CAUVC	reviewed	N-acetylmuramate/N-acetylglucosamine kinase (MurNAc/GlcNAc kinase) (EC 2.7.1.221)	amgK CC_3535	Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus)	363
Q96WX9	AGUA_ASPNG	reviewed	Probable alpha-glucuronidase A (EC 3.2.1.139) (Alpha-glucosiduronase A)	aguA	Aspergillus niger	841
Q1EAR5	CHI2_COCIM	reviewed	Endochitinase 2 (EC 3.2.1.14)	CTS2 CIMG_00348	Coccidioides immitis (strain RS) (Valley fever fungus)	895
Q13231	CHIT1_HUMAN	reviewed	Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)	CHIT1	Homo sapiens (Human)	466
Q06350	CHI2_YEAST	reviewed	Sporulation-specific chitinase 2 (EC 3.2.1.14)	CTS2 YDR371W D9481.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511
C6BTU7	F16PA_DESAD	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp Desal_1815	Desulfovibrio salexigens (strain ATCC 14822 / DSM 2638 / NCIB 8403 / VKM B-1763)	338
Q30ZN0	F16PA_DESAG	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp Dde_2069	Desulfovibrio alaskensis (strain G20) (Desulfovibrio desulfuricans (strain G20))	338
B8D943	GMHA_BUCA5	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA BUAP5A_245	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain 5A)	193
Q8KAW3	GMHA_CHLTE	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA lpcA CT2038	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	209
P63227	GMHA_SHIFL	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA SF0272 S0293	Shigella flexneri	192
B3EHV1	GMHA_CHLL2	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA Clim_2337	Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330)	214
P24814	GRR1_YEAST	reviewed	SCF E3 ubiquitin ligase complex F-box protein GRR1 (F-box and leucine-rich repeat protein GRR1) (F-box/LRR-repeat protein GRR1)	GRR1 CAT80 COT2 YJR090C J1885	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1151
B3QL68	GMHA_CHLP8	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA Cpar_1914	Chlorobaculum parvum (strain NCIB 8327) (Chlorobium vibrioforme subsp. thiosulfatophilum (strain DSM 263 / NCIB 8327))	209
Q55797	GMHA_SYNY3	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA sll0083	Synechocystis sp. (strain PCC 6803 / Kazusa)	194
C4XJU6	GMHA_DESMR	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA DMR_08100	Desulfovibrio magneticus (strain ATCC 700980 / DSM 13731 / RS-1)	204
B7UJB5	GMHA_ECO27	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA E2348C_0219	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	192
A4VGC9	F16PA_PSEU5	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp PST_0324	Pseudomonas stutzeri (strain A1501)	336
Q6N2R1	GMHBB_RHOPA	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB RPA3988	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	180
B4TT57	F16PA_SALSV	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp SeSA_A4684	Salmonella schwarzengrund (strain CVM19633)	332
A0RV30	FBPAP_CENSY	reviewed	Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)	fbp CENSYa_0564	Cenarchaeum symbiosum (strain A)	376
B8NJF4	BGLD_ASPFN	reviewed	Probable beta-glucosidase D (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase D) (Cellobiase D) (Gentiobiase D)	bglD AFLA_066750	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)	752
B0Y429	BTGC_ASPFC	reviewed	Probable glucan endo-1,3-beta-glucosidase btgC (EC 3.2.1.39) (Endo-1,3-beta-glucanase btgC) (Laminarinase btgC)	btgC AFUB_056310	Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)	688
Q9R9H8	BBMA_BACIU	reviewed	Intracellular maltogenic amylase (EC 3.2.1.-)	bbmA	Bacillus subtilis	588
A6KXB4	APTA_BACV8	reviewed	Apulose-4-phosphate transketolase subunit A (EC 2.2.1.-) (Apulose-4-phosphate transketolase N-terminal subunit)	aptA BVU_0359	Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154)	281
Q99034	AXE1_HYPJE	reviewed	Acetylxylan esterase (EC 3.1.1.72)	axe1	Hypocrea jecorina (Trichoderma reesei)	302
Q2U790	ABFA_ASPOR	reviewed	Probable alpha-L-arabinofuranosidase A (ABF A) (Arabinosidase A) (EC 3.2.1.55)	abfA AO090124000023	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	629
B8N7I7	ABFB_ASPFN	reviewed	Probable alpha-L-arabinofuranosidase B (ABF B) (Arabinosidase B) (EC 3.2.1.55)	abfB AFLA_104300	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)	506
P95470	ARBA_CELJU	reviewed	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase ArbA (ABF) (EC 3.2.1.55) (Extracellular arabinan exo-alpha-(1->5)-L-arabinosidase ArbA) (Arabinosidase)	arbA	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	347
C1DQ86	GMHA_AZOVD	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA Avin_13120	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	197
A5V6F9	ANMK_SPHWW	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK Swit_1512	Sphingomonas wittichii (strain RW1 / DSM 6014 / JCM 10273)	365
Q8RD30	ANMK_CALS4	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK TTE0217	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	396
A5GNU1	ANMK_SYNPW	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK SynWH7803_2180	Synechococcus sp. (strain WH7803)	387
B0CAA5	ANMK_ACAM1	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK AM1_2840	Acaryochloris marina (strain MBIC 11017)	379
P36914	AMYG_ASPOR	reviewed	Glucoamylase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	glaA gluB AO090010000746	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	612
P08019	AMYG_YEAST	reviewed	Glucoamylase, intracellular sporulation-specific (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	SGA1 SGA YIL099W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549
B7MVB8	ANMK_ECO81	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK ECED1_1841	Escherichia coli O81 (strain ED1a)	369
B1XFV2	ANMK_ECODH	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK ECDH10B_1774	Escherichia coli (strain K12 / DH10B)	369
Q1BZ42	ANMK_BURCA	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK Bcen_0199	Burkholderia cenocepacia (strain AU 1054)	382
Q1C596	CHBG_YERPA	reviewed	Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	chbG YPA_2411	Yersinia pestis bv. Antiqua (strain Antiqua)	253
P30269	AMY_BUTFI	reviewed	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyA	Butyrivibrio fibrisolvens	976
P06720	AGAL_ECOLI	reviewed	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	melA mel-7 b4119 JW4080	Escherichia coli (strain K12)	451
P29031	CHIB_POPTR	reviewed	Acidic endochitinase WIN6.2B (EC 3.2.1.14)		Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)	303
B5FSC7	F16PA_SALDC	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp SeD_A4814	Salmonella dublin (strain CT_02021853)	332
Q8Y241	ANMK_RALSO	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK RSc0495	Ralstonia solanacearum (strain GMI1000) (Pseudomonas solanacearum)	382
P81700	CHH6_PENJP	reviewed	Crustacean hyperglycemic hormone 6 (Pej-SGP-VI)		Penaeus japonicus (Kuruma prawn) (Marsupenaeus japonicus)	72
O81862	CHIC_ARATH	reviewed	Class V chitinase (AtChiC) (EC 3.2.1.14)	ChiC At4g19810 T16H5.170	Arabidopsis thaliana (Mouse-ear cress)	379
A6WKM4	ANMK_SHEB8	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK Shew185_1212	Shewanella baltica (strain OS185)	369
Q838S2	CHI18_ENTFA	reviewed	Chitinase (EC 3.2.1.14) (EfChi18A)	EF_0361	Enterococcus faecalis (strain ATCC 700802 / V583)	348
Q07YV2	ANMK_SHEFN	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK Sfri_2973	Shewanella frigidimarina (strain NCIMB 400)	370
Q9JXI5	GMHBB_NEIMB	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB gmhX NMB2033	Neisseria meningitidis serogroup B (strain MC58)	187
Q6D074	F16PA_PECAS	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp ECA3927	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	334
