Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P00486	CAT2_STAAU	reviewed	Chloramphenicol acetyltransferase (CAT) (EC 2.3.1.28)	cat	Staphylococcus aureus	215
B7VBN1	ARND_PSEA8	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD PLES_14781	Pseudomonas aeruginosa (strain LESB58)	295
B4SYX2	ARND_SALNS	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD SNSL254_A2485	Salmonella newport (strain SL254)	299
Q8FFM1	ARNA_ECOL6	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA c2797	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	660
Q9S0S3	DRP35_STAAU	reviewed	Lactonase drp35 (EC 3.1.1.-)	drp35	Staphylococcus aureus	324
Q9EZQ7	BLAC_NOCAS	reviewed	Beta-lactamase AST-1 (EC 3.5.2.6)	bla ast1	Nocardia asteroides	310
P94968	AAC2_MYCS2	reviewed	Aminoglycoside 2'-N-acetyltransferase (EC 2.3.1.-) (AAC(2')-Id)	aac MSMEG_0434 MSMEI_0423	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	210
Q5WJ42	CFR_BACSK	reviewed	Ribosomal RNA large subunit methyltransferase Cfr (EC 2.1.1.224) (23S rRNA (adenine(2503)-C(8))-methyltransferase) (23S rRNA m8A2503 methyltransferase)	cfr ABC1074	Bacillus clausii (strain KSM-K16)	350
P0C2P0	BSD_ASPTE	reviewed	Blasticidin-S deaminase (EC 3.5.4.23)	bsd	Aspergillus terreus	130
C4ZU95	ARNB_ECOBW	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB BWG_2026	Escherichia coli (strain K12 / MC4100 / BW2952)	379
Q1R9G2	ARNB_ECOUT	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB UTI89_C2535	Escherichia coli (strain UTI89 / UPEC)	379
B5RCC2	ARNB_SALG2	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB SG2326	Salmonella gallinarum (strain 287/91 / NCTC 13346)	379
Q4KC84	ARNB_PSEF5	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB PFL_3043	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	379
P67920	BLA1_ACTPL	reviewed	Beta-lactamase ROB-1 (EC 3.5.2.6)	rob1 bla	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)	305
P0AE06	ACRA_ECOLI	reviewed	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	acrA lir mtcA b0463 JW0452	Escherichia coli (strain K12)	397
P25309	CAT_STAIN	reviewed	Chloramphenicol acetyltransferase (CAT) (EC 2.3.1.28)	cat	Staphylococcus intermedius	215
P28246	BCR_ECOLI	reviewed	Bicyclomycin resistance protein (Sulfonamide resistance protein)	bcr bicA bicR sur suxA b2182 JW5363	Escherichia coli (strain K12)	396
B5BCP8	ARNB_SALPK	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB SSPA0530	Salmonella paratyphi A (strain AKU_12601)	379
Q7BF87	ARNB_YERPS	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB YPTB2330	Yersinia pseudotuberculosis serotype I (strain IP32953)	384
P18539	AMPC_SERMA	reviewed	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	ampC	Serratia marcescens	376
C0Q070	ARNC_SALPC	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC SPC_1413	Salmonella paratyphi C (strain RKS4594)	327
B1KZ37	CFR_CLOBM	reviewed	Ribosomal RNA large subunit methyltransferase Cfr (EC 2.1.1.224) (23S rRNA (adenine(2503)-C(8))-methyltransferase) (23S rRNA m8A2503 methyltransferase)	cfr CLK_2251	Clostridium botulinum (strain Loch Maree / Type A3)	344
Q9HY62	ARND_PSEAE	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD PA3555	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	295
Q4KC81	ARND_PSEF5	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD PFL_3046	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	294
Q57M55	ARND_SALCH	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD SCH_2301	Salmonella choleraesuis (strain SC-B67)	299
B5BCP5	ARND_SALPK	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD SSPA0527	Salmonella paratyphi A (strain AKU_12601)	299
Q8Z539	ARND_SALTI	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD STY2530 t0563	Salmonella typhi	299
Q9F5K6	AVRB_STRVR	reviewed	23S rRNA (uridine(2479)-2'-O)-methyltransferase (EC 2.1.1.208) (Avilamycin resistance protein B)	aviRb	Streptomyces viridochromogenes	287
P30843	BASR_ECOLI	reviewed	Transcriptional regulatory protein BasR	basR pmrA b4113 JW4074	Escherichia coli (strain K12)	222
P29807	AACC2_ACIBA	reviewed	Aminoglycoside N(3)-acetyltransferase III (EC 2.3.1.81) (AAC(3)II) (Gentamicin-(3)-N-acetyl-transferase)	aacC2	Acinetobacter baumannii	286
Q0TFI7	ARNA_ECOL5	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA ECP_2298	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	660
B1IXT2	ARNA_ECOLC	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA EcolC_1394	Escherichia coli (strain ATCC 8739 / DSM 1576 / Crooks)	660
P77398	ARNA_ECOLI	reviewed	Bifunctional polymyxin resistance protein ArnA (Polymyxin resistance protein PmrI) [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA pmrI yfbG b2255 JW2249	Escherichia coli (strain K12)	660
Q02R25	ARNA_PSEAB	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA PA14_18350	Pseudomonas aeruginosa (strain UCBPP-PA14)	662
Q0T2N0	ARNB_SHIF8	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB SFV_2323	Shigella flexneri serotype 5b (strain 8401)	379
O34697	BCEA_BACSU	reviewed	Bacitracin export ATP-binding protein BceA	bceA barC ytsC BSU30380	Bacillus subtilis (strain 168)	253
B5R271	ARNC_SALEP	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC SEN2280	Salmonella enteritidis PT4 (strain P125109)	327
Q5ANA3	CDR1_CANAL	reviewed	Pleiotropic ABC efflux transporter of multiple drugs CDR1 (Pleiotropic drug resistance protein CDR1)	CDR1 CAALFM_C305220WA CaO19.13421 CaO19.6000	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	1501
Q83KB7	ARND_SHIFL	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD SF2335 S2468	Shigella flexneri	296
P67925	BLE_GEOSE	reviewed	Bleomycin resistance protein (BRP)	bleO	Geobacillus stearothermophilus (Bacillus stearothermophilus)	132
A1JPN1	ARND_YERE8	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD YE2189	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	300
A0KGY6	ARNA_AERHH	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA AHA_0990	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)	663
Q5PNA4	ARNB_SALPA	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB SPA0566	Salmonella paratyphi A (strain ATCC 9150 / SARB42)	379
Q7A447	FEMX_STAAN	reviewed	Lipid II:glycine glycyltransferase (EC 2.3.2.16) (Factor essential for expression of methicillin resistance X)	femX fmhB SA2057	Staphylococcus aureus (strain N315)	421
Q848S4	BLA46_KLEOX	reviewed	Beta-lactamase SHV-46 (EC 3.5.2.6)	bla shv46	Klebsiella oxytoca	286
Q48406	BLAT_KLEOX	reviewed	Beta-lactamase TEM-12 (EC 3.5.2.6)	blaT-12b	Klebsiella oxytoca	286
A9N5B4	ARNB_SALPB	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB SPAB_00684	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	379
Q9RBW7	AAC6_STEMA	reviewed	Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82) (AAC(6')-Iz) (Aminoglycoside resistance protein)		Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	153
B7N5L9	ARNC_ECOLU	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC ECUMN_2595	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	322
A8FRR3	ARNC_SHESH	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC Ssed_0925	Shewanella sediminis (strain HAW-EB3)	331
P16961	CRE_STRHY	reviewed	Curromycin resistance protein	cre	Streptomyces hygroscopicus	58
A7GH77	CFR_CLOBL	reviewed	Ribosomal RNA large subunit methyltransferase Cfr (EC 2.1.1.224) (23S rRNA (adenine(2503)-C(8))-methyltransferase) (23S rRNA m8A2503 methyltransferase)	cfr CLI_2911	Clostridium botulinum (strain Langeland / NCTC 10281 / Type F)	344
B5RCC5	ARND_SALG2	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD SG2329	Salmonella gallinarum (strain 287/91 / NCTC 13346)	299
Q7A8D1	BLE_STAAN	reviewed	Bleomycin resistance protein (BRP) (Bleomycin-binding protein)	ble bleO SA0032	Staphylococcus aureus (strain N315)	132
Q88QT3	AMGK_PSEPK	reviewed	N-acetylmuramate/N-acetylglucosamine kinase (MurNAc/GlcNAc kinase) (EC 2.7.1.221) (Anomeric sugar kinase)	amgK PP_0405	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440)	339
Q2FEG3	FOSB_STAA3	reviewed	Metallothiol transferase FosB (EC 2.5.1.-) (Fosfomycin resistance protein)	fosB SAUSA300_2280	Staphylococcus aureus (strain USA300)	139
P16657	FABI_SALTY	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI envM STM1700	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	262
P36883	CAT5_STAAU	reviewed	Chloramphenicol acetyltransferase (CAT) (EC 2.3.1.28)		Staphylococcus aureus	209
P25910	BLAB_BACFG	reviewed	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase II) (Carbapenem and cephamycin resistance) (CCRA) (Cephalosporinase) (Imipenem-cefoxitin hydrolyzing enzyme) (Metallo-beta-lactamase type II) (Penicillinase) (Zinc-requiring beta-lactamase)	ccrA cfiA	Bacteroides fragilis	249
P0A042	BLAI_STAAU	reviewed	Penicillinase repressor (Beta-lactamase repressor protein) (Regulatory protein BlaI)	blaI penI	Staphylococcus aureus	126
P28585	BLC1_ECOLX	reviewed	Beta-lactamase CTX-M-1 (EC 3.5.2.6) (Beta-lactamase MEN-1) (Cefotaximase 1)	bla men1	Escherichia coli	291
Q51355	BLC4_PSEAI	reviewed	Beta-lactamase CARB-4 (EC 3.5.2.6) (Carbenicillinase 4)	carB4	Pseudomonas aeruginosa	288
P46105	ACT22_STRCO	reviewed	Probable actinorhodin transporter	actII-2 SCO5083 SCBAC28G1.09	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	578
P76472	ARND_ECOLI	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD pmrJ yfbH b2256 JW2250	Escherichia coli (strain K12)	296
B5YXP9	ARND_ECO5E	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD ECH74115_3397	Escherichia coli O157:H7 (strain EC4115 / EHEC)	296
B5XTL0	ARND_KLEP3	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD KPK_0269	Klebsiella pneumoniae (strain 342)	300
P39843	BMR2_BACSU	reviewed	Multidrug resistance protein 2 (Multidrug-efflux transporter 2)	blt bmr2 bmt BSU26590	Bacillus subtilis (strain 168)	400
Q9I5Q5	ANMK_PSEAE	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK PA0666	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	363
P9WKZ0	ATSK_MYCTO	reviewed	Alpha-ketoglutarate-dependent sulfate ester dioxygenase (EC 1.14.11.-) (Type II alkyl sulfatase)	MT3514	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	295
Q63CC5	FOSB_BACCZ	reviewed	Metallothiol transferase FosB (EC 2.5.1.-) (Fosfomycin resistance protein)	fosB BCE33L1847	Bacillus cereus (strain ZK / E33L)	138
Q2FVZ4	FEMX_STAA8	reviewed	Lipid II:glycine glycyltransferase (EC 2.3.2.16) (Factor essential for expression of methicillin resistance X)	femX fmhB SAOUHSC_02527	Staphylococcus aureus (strain NCTC 8325)	421
P60863	FOSB_STAAM	reviewed	Metallothiol transferase FosB (EC 2.5.1.-) (Fosfomycin resistance protein)	fosB SAV2333	Staphylococcus aureus (strain Mu50 / ATCC 700699)	139
O65976	BLC6_SALTM	reviewed	Beta-lactamase CTX-M-6 (EC 3.5.2.6) (Cefotaximase 6)	bla	Salmonella typhimurium	291
P74841	BLC2_SALTM	reviewed	Beta-lactamase CTX-M-2 (EC 3.5.2.6) (Cefotaximase 2)	bla	Salmonella typhimurium	291
Q43899	AAC6_ACIBA	reviewed	Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82) (AAC(6')-Ih) (Aminoglycoside resistance protein)		Acinetobacter baumannii	146
A5HBL2	CFR_STAAU	reviewed	Ribosomal RNA large subunit methyltransferase Cfr (EC 2.1.1.224) (23S rRNA (adenine(2503)-C(8))-methyltransferase) (23S rRNA m8A2503 methyltransferase)	cfr	Staphylococcus aureus	349
B4ETL8	ARND_PROMH	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD PMI1046	Proteus mirabilis (strain HI4320)	297
Q0TFI6	ARND_ECOL5	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD ECP_2299	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	296
B7N5M1	ARND_ECOLU	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD ECUMN_2597	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	296
B7NNT2	ARNB_ECO7I	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB ECIAI39_2400	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	379
P9WKZ1	ATSK_MYCTU	reviewed	Alpha-ketoglutarate-dependent sulfate ester dioxygenase (EC 1.14.11.-) (Type II alkyl sulfatase)	Rv3406 MTCY78.22c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	295
P00811	AMPC_ECOLI	reviewed	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	ampC ampA b4150 JW4111	Escherichia coli (strain K12)	377
B7LM77	ARNC_ESCF3	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC EFER_0915	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73)	326
A0KGY5	ARND_AERHH	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD AHA_0989	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)	299
P0AAX1	ACRZ_ECO57	reviewed	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ Z0932 ECs0790	Escherichia coli O157:H7	49
O69773	AMPC_PROST	reviewed	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	ampC	Providencia stuartii	384
P29810	AACC9_MICCH	reviewed	Aminoglycoside N(3)-acetyltransferase IX (EC 2.3.1.81) (ACC(3)-IX) (Aminocyclitol 3-N-acetyltransferase type IX)	aacC9	Micromonospora chalcea	281
Q4ZSZ3	ARNC_PSEU2	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC Psyr_2690	Pseudomonas syringae pv. syringae (strain B728a)	337
A4WAM2	ARND_ENT38	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD Ent638_2076	Enterobacter sp. (strain 638)	298
B5EZH9	ARND_SALA4	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD SeAg_B2436	Salmonella agona (strain SL483)	299
Q31YK1	ARND_SHIBS	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD SBO_2293	Shigella boydii serotype 4 (strain Sb227)	296
A4WAM3	ARNA_ENT38	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA Ent638_2077	Enterobacter sp. (strain 638)	660
